"order_date","order_year","order_month","month_number","category","sales","quantity","discount","profit"
"2017-04-21","2017","April","4","Office Supplies","97.264","4.0","80.0","-243.16"
"2017-11-06","2017","November","11","Office Supplies","46.26","3.0","0.0","12.0276"
"2017-07-06","2017","July","7","Office Supplies","2.946","2.0","70.0","-2.2586"
"2017-07-06","2017","July","7","Office Supplies","16.056","3.0","20.0","5.8203"
"2017-06-24","2017","June","6","Office Supplies","21.744","3.0","20.0","6.795"
"2017-12-17","2017","December","12","Office Supplies","66.284","2.0","80.0","-178.9668"
"2017-06-03","2017","June","6","Furniture","35.168","7.0","20.0","9.6712"
"2017-12-09","2017","December","12","Technology","444.768","4.0","20.0","44.4768"
"2017-12-01","2017","December","12","Office Supplies","83.92","4.0","0.0","5.8744"
"2017-12-01","2017","December","12","Technology","131.98","2.0","0.0","35.6346"
"2017-12-01","2017","December","12","Office Supplies","15.92","4.0","0.0","7.4824"
"2017-12-01","2017","December","12","Office Supplies","52.29","9.0","0.0","16.2099"
"2017-12-01","2017","December","12","Office Supplies","91.99","1.0","0.0","3.6796"
"2017-04-07","2017","April","4","Furniture","233.86","2.0","45.00","-102.048"
"2017-04-07","2017","April","4","Furniture","620.6145","3.0","45.00","-248.2458"
"2017-04-07","2017","April","4","Office Supplies","5.328","2.0","70.0","-3.552"
"2017-04-07","2017","April","4","Furniture","258.072","3.0","20.0","0.0"
"2017-04-07","2017","April","4","Technology","617.976","3.0","20.0","-7.7247"
"2017-11-12","2017","November","11","Office Supplies","10.56","2.0","0.0","4.752"
"2017-12-01","2017","December","12","Technology","20.37","3.0","0.0","6.9258"
"2017-12-01","2017","December","12","Office Supplies","221.55","3.0","0.0","6.6465"
"2017-12-01","2017","December","12","Office Supplies","17.52","5.0","20.0","6.132"
"2017-06-08","2017","June","6","Office Supplies","1.624","2.0","80.0","-4.466"
"2017-06-16","2017","June","6","Office Supplies","14.016","3.0","20.0","4.7304"
"2017-12-09","2017","December","12","Office Supplies","37.208","1.0","20.0","-7.4416"
"2017-12-09","2017","December","12","Office Supplies","57.576","3.0","20.0","21.591"
"2017-12-28","2017","December","12","Office Supplies","725.84","4.0","0.0","210.4936"
"2017-09-16","2017","September","9","Office Supplies","8.82","2.0","0.0","4.0572"
"2017-09-16","2017","September","9","Office Supplies","5.98","1.0","0.0","1.5548"
"2017-10-13","2017","October","10","Office Supplies","11.648","2.0","20.0","4.0768"
"2017-10-13","2017","October","10","Office Supplies","18.176","4.0","20.0","5.9072"
"2017-10-13","2017","October","10","Office Supplies","59.712","6.0","20.0","5.9712"
"2017-10-13","2017","October","10","Office Supplies","24.84","3.0","20.0","8.694"
"2017-11-19","2017","November","11","Furniture","219.075","3.0","50.0","-131.445"
"2017-04-15","2017","April","4","Office Supplies","4.89","1.0","0.0","2.0049"
"2017-11-03","2017","November","11","Furniture","15.992","1.0","20.0","0.9995"
"2017-06-15","2017","June","6","Technology","47.976","3.0","20.0","4.7976"
"2017-07-08","2017","July","7","Office Supplies","7.56","3.0","0.0","3.0996"
"2017-07-08","2017","July","7","Office Supplies","24.56","2.0","0.0","11.5432"
"2017-07-08","2017","July","7","Office Supplies","12.96","2.0","0.0","4.1472"
"2017-03-08","2017","March","3","Office Supplies","647.84","8.0","0.0","168.4384"
"2017-03-08","2017","March","3","Office Supplies","20.7","2.0","0.0","9.936"
"2017-09-25","2017","September","9","Office Supplies","20.7","2.0","0.0","9.936"
"2017-09-25","2017","September","9","Furniture","488.646","3.0","10.0","86.8704"
"2017-09-25","2017","September","9","Office Supplies","5.56","2.0","0.0","1.4456"
"2017-09-25","2017","September","9","Furniture","47.12","8.0","0.0","20.7328"
"2017-05-29","2017","May","5","Office Supplies","25.92","5.0","20.0","9.396"
"2017-05-29","2017","May","5","Office Supplies","53.424","3.0","20.0","4.6746"
"2017-08-27","2017","August","8","Furniture","1488.424","7.0","30.0","-297.6848"
"2017-12-11","2017","December","12","Office Supplies","23.36","4.0","20.0","7.884"
"2017-12-11","2017","December","12","Technology","39.98","2.0","0.0","13.5932"
"2017-06-30","2017","June","6","Office Supplies","75.792","3.0","20.0","25.5798"
"2017-10-17","2017","October","10","Office Supplies","49.96","2.0","0.0","9.4924"
"2017-10-17","2017","October","10","Office Supplies","12.96","2.0","0.0","6.2208"
"2017-12-24","2017","December","12","Office Supplies","35.91","3.0","0.0","9.6957"
"2017-12-08","2017","December","12","Technology","179.95","5.0","0.0","37.7895"
"2017-12-08","2017","December","12","Technology","1199.976","3.0","20.0","434.9913"
"2017-12-08","2017","December","12","Office Supplies","27.15","5.0","0.0","13.3035"
"2017-12-08","2017","December","12","Furniture","1004.024","7.0","20.0","-112.9527"
"2017-12-08","2017","December","12","Office Supplies","9.68","1.0","0.0","4.6464"
"2017-12-08","2017","December","12","Office Supplies","28.35","9.0","0.0","13.608"
"2017-12-08","2017","December","12","Office Supplies","55.98","1.0","0.0","27.4302"
"2017-12-08","2017","December","12","Furniture","1336.829","13.0","15.00","31.4548"
"2017-12-08","2017","December","12","Furniture","113.568","2.0","20.0","-18.4548"
"2017-11-03","2017","November","11","Office Supplies","139.86","7.0","0.0","65.7342"
"2017-11-03","2017","November","11","Furniture","307.136","4.0","20.0","26.8744"
"2017-06-24","2017","June","6","Office Supplies","95.92","8.0","0.0","25.8984"
"2017-11-06","2017","November","11","Office Supplies","5.78","1.0","0.0","2.8322"
"2017-03-04","2017","March","3","Office Supplies","9.32","4.0","0.0","2.7028"
"2017-03-04","2017","March","3","Office Supplies","15.25","1.0","0.0","7.015"
"2017-10-19","2017","October","10","Furniture","56.56","4.0","0.0","14.7056"
"2017-10-19","2017","October","10","Office Supplies","32.7","3.0","0.0","8.502"
"2017-08-21","2017","August","8","Furniture","866.4","4.0","0.0","225.264"
"2017-11-23","2017","November","11","Furniture","28.4","2.0","0.0","11.076"
"2017-11-23","2017","November","11","Office Supplies","287.92","8.0","0.0","138.2016"
"2017-10-01","2017","October","10","Office Supplies","6.672","6.0","20.0","0.5004"
"2017-09-15","2017","September","9","Office Supplies","31.872","8.0","20.0","11.5536"
"2017-01-20","2017","January","1","Furniture","207.846","3.0","10.0","2.3094"
"2017-03-20","2017","March","3","Furniture","2.91","1.0","0.0","1.3677"
"2017-10-20","2017","October","10","Furniture","284.364","2.0","40.0","-75.8304"
"2017-10-20","2017","October","10","Office Supplies","665.408","2.0","20.0","66.5408"
"2017-03-31","2017","March","3","Furniture","205.3328","2.0","32.00","-36.2352"
"2017-06-10","2017","June","6","Office Supplies","29.6","2.0","0.0","14.8"
"2017-06-10","2017","June","6","Furniture","514.165","5.0","15.00","-30.245"
"2017-06-10","2017","June","6","Technology","279.96","5.0","20.0","17.4975"
"2017-11-12","2017","November","11","Office Supplies","15.92","5.0","20.0","5.373"
"2017-11-26","2017","November","11","Furniture","126.3","3.0","0.0","40.416"
"2017-11-26","2017","November","11","Technology","38.04","2.0","0.0","12.1728"
"2017-12-21","2017","December","12","Office Supplies","6.63","3.0","0.0","1.7901"
"2017-12-21","2017","December","12","Office Supplies","5.88","2.0","0.0","1.7052"
"2017-01-22","2017","January","1","Technology","2999.95","5.0","0.0","1379.977"
"2017-01-22","2017","January","1","Office Supplies","51.45","3.0","0.0","13.8915"
"2017-01-22","2017","January","1","Office Supplies","11.96","2.0","0.0","5.382"
"2017-01-22","2017","January","1","Office Supplies","1126.02","3.0","0.0","56.301"
"2017-01-23","2017","January","1","Furniture","210.98","2.0","0.0","21.098"
"2017-10-21","2017","October","10","Furniture","683.952","3.0","20.0","42.747"
"2017-10-21","2017","October","10","Furniture","45.696","3.0","20.0","5.1408"
"2017-09-07","2017","September","9","Furniture","47.94","3.0","0.0","2.397"
"2017-09-03","2017","September","9","Office Supplies","42.616","7.0","80.0","-68.1856"
"2017-11-19","2017","November","11","Office Supplies","41.28","6.0","20.0","13.932"
"2017-11-19","2017","November","11","Office Supplies","13.36","2.0","0.0","6.4128"
"2017-09-11","2017","September","9","Furniture","34.504","1.0","20.0","6.0382"
"2017-11-24","2017","November","11","Office Supplies","10.824","3.0","20.0","2.5707"
"2017-06-29","2017","June","6","Office Supplies","1295.78","2.0","0.0","310.9872"
"2017-11-20","2017","November","11","Furniture","42.6","3.0","0.0","16.614"
"2017-11-20","2017","November","11","Office Supplies","84.056","7.0","20.0","27.3182"
"2017-12-07","2017","December","12","Technology","374.376","3.0","20.0","46.797"
"2017-10-01","2017","October","10","Office Supplies","91.84","8.0","0.0","45.0016"
"2017-10-01","2017","October","10","Office Supplies","81.088","7.0","20.0","27.3672"
"2017-10-01","2017","October","10","Office Supplies","19.44","3.0","0.0","9.3312"
"2017-10-01","2017","October","10","Furniture","451.152","3.0","20.0","0.0"
"2017-12-28","2017","December","12","Office Supplies","72.45","7.0","0.0","34.776"
"2017-12-28","2017","December","12","Office Supplies","13.96","4.0","0.0","6.4216"
"2017-12-28","2017","December","12","Office Supplies","33.264","7.0","20.0","11.2266"
"2017-12-28","2017","December","12","Technology","14.85","3.0","0.0","4.0095"
"2017-07-20","2017","July","7","Office Supplies","69.712","2.0","20.0","8.714"
"2017-07-20","2017","July","7","Furniture","8.792","1.0","60.0","-5.7148"
"2017-12-01","2017","December","12","Technology","470.376","3.0","20.0","52.9173"
"2017-12-01","2017","December","12","Technology","105.584","2.0","20.0","9.2386"
"2017-12-01","2017","December","12","Office Supplies","31.152","3.0","20.0","3.5046"
"2017-12-01","2017","December","12","Office Supplies","6.783","7.0","70.0","-4.7481"
"2017-12-01","2017","December","12","Technology","406.368","4.0","20.0","30.4776"
"2017-11-14","2017","November","11","Technology","119.94","10.0","40.0","15.992"
"2017-11-14","2017","November","11","Office Supplies","3.648","2.0","70.0","-2.7968"
"2017-08-18","2017","August","8","Furniture","40.48","2.0","0.0","15.7872"
"2017-08-18","2017","August","8","Furniture","9.94","2.0","0.0","3.0814"
"2017-08-18","2017","August","8","Office Supplies","107.424","9.0","20.0","33.57"
"2017-08-18","2017","August","8","Technology","37.91","1.0","0.0","10.9939"
"2017-08-18","2017","August","8","Furniture","88.02","3.0","0.0","27.2862"
"2017-09-15","2017","September","9","Furniture","35.56","7.0","0.0","12.0904"
"2017-05-19","2017","May","5","Office Supplies","97.16","2.0","0.0","28.1764"
"2017-12-17","2017","December","12","Office Supplies","15.24","5.0","20.0","5.1435"
"2017-12-17","2017","December","12","Office Supplies","13.23","3.0","0.0","6.0858"
"2017-09-24","2017","September","9","Technology","17.88","3.0","20.0","2.4585"
"2017-09-24","2017","September","9","Office Supplies","235.944","3.0","20.0","85.5297"
"2017-07-30","2017","July","7","Office Supplies","330.4","2.0","0.0","85.904"
"2017-07-30","2017","July","7","Office Supplies","26.25","7.0","0.0","12.6"
"2017-06-10","2017","June","6","Technology","132.52","4.0","0.0","54.3332"
"2017-07-21","2017","July","7","Office Supplies","6.48","1.0","0.0","3.1752"
"2017-12-30","2017","December","12","Office Supplies","209.3","2.0","0.0","56.511"
"2017-06-19","2017","June","6","Office Supplies","97.82","2.0","0.0","45.9754"
"2017-06-19","2017","June","6","Technology","103.12","8.0","0.0","10.312"
"2017-06-08","2017","June","6","Office Supplies","23.76","3.0","20.0","2.079"
"2017-06-08","2017","June","6","Office Supplies","85.056","3.0","20.0","28.7064"
"2017-06-08","2017","June","6","Technology","381.576","3.0","20.0","28.6182"
"2017-06-09","2017","June","6","Furniture","23.976","3.0","60.0","-14.3856"
"2017-06-09","2017","June","6","Furniture","108.925","1.0","50.0","-71.8905"
"2017-06-09","2017","June","6","Office Supplies","36.352","8.0","20.0","11.36"
"2017-06-15","2017","June","6","Office Supplies","19.56","5.0","20.0","1.7115"
"2017-12-05","2017","December","12","Office Supplies","61.44","3.0","0.0","16.5888"
"2017-12-05","2017","December","12","Office Supplies","38.9","5.0","0.0","17.505"
"2017-12-05","2017","December","12","Technology","99.39","3.0","0.0","40.7499"
"2017-03-18","2017","March","3","Office Supplies","2.688","3.0","80.0","-7.392"
"2017-03-18","2017","March","3","Technology","27.816","3.0","20.0","4.5201"
"2017-03-18","2017","March","3","Furniture","82.524","3.0","60.0","-41.262"
"2017-03-18","2017","March","3","Office Supplies","182.994","3.0","80.0","-320.2395"
"2017-11-04","2017","November","11","Technology","7999.98","4.0","50.0","-3839.9904"
"2017-11-04","2017","November","11","Office Supplies","167.44","2.0","20.0","14.651"
"2017-12-25","2017","December","12","Furniture","191.984","2.0","20.0","4.7996"
"2017-09-02","2017","September","9","Furniture","15.072","3.0","20.0","4.1448"
"2017-09-03","2017","September","9","Office Supplies","24.448","4.0","20.0","8.8624"
"2017-05-19","2017","May","5","Office Supplies","281.34","6.0","0.0","109.7226"
"2017-05-19","2017","May","5","Technology","307.98","2.0","0.0","89.3142"
"2017-05-19","2017","May","5","Technology","299.97","3.0","0.0","113.9886"
"2017-09-24","2017","September","9","Furniture","103.056","3.0","20.0","24.4758"
"2017-09-16","2017","September","9","Office Supplies","17.568","2.0","20.0","6.3684"
"2017-09-16","2017","September","9","Technology","55.992","1.0","20.0","5.5992"
"2017-01-21","2017","January","1","Office Supplies","242.94","3.0","0.0","9.7176"
"2017-01-21","2017","January","1","Technology","179.97","3.0","0.0","86.3856"
"2017-01-21","2017","January","1","Office Supplies","99.696","6.0","20.0","33.6474"
"2017-01-21","2017","January","1","Office Supplies","27.936","4.0","20.0","9.4284"
"2017-01-21","2017","January","1","Furniture","84.98","1.0","0.0","18.6956"
"2017-01-21","2017","January","1","Office Supplies","18.72","5.0","20.0","6.552"
"2017-10-02","2017","October","10","Office Supplies","58.05","3.0","0.0","26.703"
"2017-10-02","2017","October","10","Furniture","157.74","11.0","0.0","56.7864"
"2017-10-02","2017","October","10","Office Supplies","56.98","7.0","0.0","22.792"
"2017-10-02","2017","October","10","Office Supplies","2.88","1.0","0.0","1.4112"
"2017-07-23","2017","July","7","Office Supplies","13.128","3.0","20.0","4.2666"
"2017-09-18","2017","September","9","Office Supplies","22.72","4.0","0.0","10.224"
"2017-11-03","2017","November","11","Office Supplies","12.39","3.0","0.0","5.6994"
"2017-01-30","2017","January","1","Office Supplies","18.28","2.0","0.0","9.14"
"2017-01-30","2017","January","1","Technology","207.0","3.0","0.0","51.75"
"2017-01-30","2017","January","1","Office Supplies","32.35","5.0","0.0","16.175"
"2017-01-30","2017","January","1","Office Supplies","7.71","1.0","0.0","3.4695"
"2017-01-30","2017","January","1","Office Supplies","40.3","2.0","0.0","10.881"
"2017-01-30","2017","January","1","Furniture","34.58","7.0","0.0","14.5236"
"2017-03-17","2017","March","3","Office Supplies","17.456","2.0","20.0","5.8914"
"2017-09-21","2017","September","9","Office Supplies","20.16","7.0","0.0","9.8784"
"2017-02-20","2017","February","2","Furniture","22.23","1.0","0.0","7.3359"
"2017-02-20","2017","February","2","Technology","215.968","2.0","20.0","18.8972"
"2017-04-22","2017","April","4","Furniture","18.28","2.0","0.0","6.2152"
"2017-05-14","2017","May","5","Furniture","18.28","2.0","0.0","6.2152"
"2017-05-14","2017","May","5","Technology","1399.93","7.0","0.0","601.9699"
"2017-06-20","2017","June","6","Technology","239.97","3.0","0.0","71.991"
"2017-06-20","2017","June","6","Office Supplies","9.82","2.0","0.0","4.8118"
"2017-08-21","2017","August","8","Office Supplies","35.0","7.0","0.0","16.8"
"2017-08-21","2017","August","8","Office Supplies","37.24","4.0","0.0","10.7996"
"2017-08-21","2017","August","8","Office Supplies","15.28","2.0","0.0","7.4872"
"2017-06-16","2017","June","6","Furniture","301.96","2.0","0.0","90.588"
"2017-06-16","2017","June","6","Office Supplies","180.66","3.0","0.0","50.5848"
"2017-06-16","2017","June","6","Technology","191.98","2.0","0.0","51.8346"
"2017-06-16","2017","June","6","Technology","65.99","1.0","0.0","17.1574"
"2017-11-04","2017","November","11","Office Supplies","9.664","2.0","20.0","3.2616"
"2017-01-01","2017","January","1","Furniture","48.896","4.0","20.0","8.5568"
"2017-04-10","2017","April","4","Office Supplies","7.61","1.0","0.0","3.5767"
"2017-04-10","2017","April","4","Office Supplies","7.16","2.0","0.0","3.58"
"2017-08-25","2017","August","8","Office Supplies","192.16","5.0","20.0","67.256"
"2017-11-30","2017","November","11","Office Supplies","68.472","3.0","20.0","23.1093"
"2017-11-30","2017","November","11","Furniture","1242.9","5.0","10.0","262.39"
"2017-12-23","2017","December","12","Office Supplies","13.48","4.0","0.0","5.9312"
"2017-06-26","2017","June","6","Office Supplies","83.76","12.0","0.0","1.6752"
"2017-10-14","2017","October","10","Office Supplies","37.66","7.0","0.0","18.4534"
"2017-06-20","2017","June","6","Technology","149.95","5.0","0.0","14.995"
"2017-06-20","2017","June","6","Office Supplies","51.312","3.0","20.0","18.6006"
"2017-06-26","2017","June","6","Office Supplies","4.54","1.0","0.0","2.043"
"2017-06-26","2017","June","6","Office Supplies","15.92","4.0","0.0","5.4128"
"2017-06-26","2017","June","6","Technology","543.92","8.0","0.0","135.98"
"2017-10-29","2017","October","10","Office Supplies","46.96","8.0","0.0","22.5408"
"2017-11-11","2017","November","11","Office Supplies","10.44","5.0","20.0","3.393"
"2017-11-11","2017","November","11","Office Supplies","18.336","4.0","80.0","-32.088"
"2017-09-15","2017","September","9","Technology","323.976","3.0","20.0","20.2485"
"2017-12-30","2017","December","12","Furniture","323.136","4.0","20.0","12.1176"
"2017-12-30","2017","December","12","Technology","90.93","7.0","0.0","2.7279"
"2017-12-30","2017","December","12","Office Supplies","52.776","3.0","20.0","19.791"
"2017-09-02","2017","September","9","Technology","1199.8","4.0","0.0","323.946"
"2017-09-02","2017","September","9","Technology","1928.78","7.0","0.0","829.3754"
"2017-09-02","2017","September","9","Office Supplies","352.38","2.0","0.0","81.0474"
"2017-11-27","2017","November","11","Furniture","46.94","1.0","0.0","19.2454"
"2017-11-27","2017","November","11","Technology","143.73","9.0","0.0","56.0547"
"2017-04-14","2017","April","4","Office Supplies","14.592","3.0","20.0","2.5536"
"2017-04-14","2017","April","4","Office Supplies","89.856","3.0","20.0","21.3408"
"2017-04-14","2017","April","4","Office Supplies","13.872","3.0","20.0","5.0286"
"2017-09-02","2017","September","9","Office Supplies","12.192","3.0","20.0","4.1148"
"2017-11-05","2017","November","11","Technology","159.99","1.0","0.0","54.3966"
"2017-11-28","2017","November","11","Furniture","516.488","7.0","20.0","-12.9122"
"2017-11-28","2017","November","11","Furniture","1007.232","6.0","20.0","75.5424"
"2017-11-28","2017","November","11","Furniture","2065.32","12.0","40.0","-619.596"
"2017-11-28","2017","November","11","Office Supplies","15.552","3.0","20.0","5.4432"
"2017-11-28","2017","November","11","Office Supplies","25.344","6.0","20.0","7.92"
"2017-04-03","2017","April","4","Furniture","25.472","4.0","20.0","7.6416"
"2017-12-28","2017","December","12","Office Supplies","27.168","2.0","20.0","2.7168"
"2017-12-28","2017","December","12","Furniture","78.8528","2.0","32.00","-11.596"
"2017-11-30","2017","November","11","Office Supplies","173.8","5.0","0.0","43.45"
"2017-05-15","2017","May","5","Technology","29.592","1.0","20.0","2.5893"
"2017-05-15","2017","May","5","Office Supplies","4.752","2.0","70.0","-3.168"
"2017-05-15","2017","May","5","Office Supplies","15.552","3.0","20.0","5.6376"
"2017-11-14","2017","November","11","Furniture","321.568","2.0","20.0","28.1372"
"2017-04-09","2017","April","4","Office Supplies","9.82","2.0","0.0","4.8118"
"2017-04-09","2017","April","4","Office Supplies","35.97","3.0","0.0","9.7119"
"2017-04-09","2017","April","4","Office Supplies","12.96","2.0","0.0","6.2208"
"2017-04-09","2017","April","4","Office Supplies","191.6","4.0","0.0","91.968"
"2017-04-09","2017","April","4","Office Supplies","8.64","3.0","0.0","4.2336"
"2017-04-09","2017","April","4","Office Supplies","501.81","3.0","0.0","0.0"
"2017-10-05","2017","October","10","Technology","160.93","7.0","0.0","3.2186"
"2017-10-05","2017","October","10","Office Supplies","75.792","3.0","20.0","25.5798"
"2017-07-09","2017","July","7","Office Supplies","1.08","2.0","70.0","-0.792"
"2017-01-07","2017","January","1","Technology","3059.982","2.0","10.0","679.996"
"2017-09-29","2017","September","9","Office Supplies","7.968","2.0","20.0","2.5896"
"2017-09-29","2017","September","9","Office Supplies","27.968","4.0","20.0","9.4392"
"2017-09-29","2017","September","9","Technology","336.51","3.0","40.0","44.868"
"2017-05-21","2017","May","5","Furniture","520.05","5.0","0.0","72.807"
"2017-05-21","2017","May","5","Office Supplies","17.97","3.0","0.0","5.2113"
"2017-12-26","2017","December","12","Office Supplies","44.75","5.0","0.0","20.585"
"2017-08-01","2017","August","8","Technology","95.984","2.0","20.0","5.999"
"2017-06-17","2017","June","6","Furniture","155.25","3.0","0.0","46.575"
"2017-06-17","2017","June","6","Office Supplies","14.03","1.0","0.0","4.0687"
"2017-12-17","2017","December","12","Office Supplies","11.808","2.0","20.0","4.2804"
"2017-11-20","2017","November","11","Office Supplies","23.968","7.0","20.0","2.6964"
"2017-11-20","2017","November","11","Office Supplies","28.728","3.0","20.0","1.7955"
"2017-07-09","2017","July","7","Office Supplies","8.84","5.0","20.0","2.9835"
"2017-07-09","2017","July","7","Office Supplies","58.464","9.0","80.0","-146.16"
"2017-10-12","2017","October","10","Furniture","254.604","14.0","30.0","-18.186"
"2017-12-10","2017","December","12","Office Supplies","19.936","4.0","20.0","7.2268"
"2017-12-10","2017","December","12","Office Supplies","65.568","2.0","20.0","22.9488"
"2017-09-28","2017","September","9","Office Supplies","1.744","1.0","20.0","-0.3488"
"2017-11-14","2017","November","11","Office Supplies","8.64","2.0","20.0","3.024"
"2017-09-23","2017","September","9","Office Supplies","119.96","2.0","0.0","33.5888"
"2017-09-23","2017","September","9","Office Supplies","31.44","3.0","0.0","8.4888"
"2017-09-23","2017","September","9","Office Supplies","6.88","1.0","20.0","2.322"
"2017-06-04","2017","June","6","Furniture","31.984","2.0","20.0","1.999"
"2017-06-04","2017","June","6","Technology","71.984","2.0","20.0","25.1944"
"2017-01-21","2017","January","1","Office Supplies","348.208","7.0","20.0","30.4682"
"2017-01-21","2017","January","1","Office Supplies","35.784","7.0","70.0","-28.6272"
"2017-04-21","2017","April","4","Office Supplies","2.694","3.0","80.0","-4.7145"
"2017-04-21","2017","April","4","Office Supplies","2.934","3.0","80.0","-4.9878"
"2017-12-18","2017","December","12","Office Supplies","46.672","2.0","20.0","16.3352"
"2017-12-18","2017","December","12","Furniture","119.833","1.0","15.00","-12.6882"
"2017-12-18","2017","December","12","Technology","119.98","2.0","0.0","57.5904"
"2017-06-29","2017","June","6","Office Supplies","362.94","3.0","0.0","90.735"
"2017-06-29","2017","June","6","Office Supplies","11.54","2.0","0.0","5.77"
"2017-12-08","2017","December","12","Furniture","109.48","2.0","0.0","33.9388"
"2017-12-08","2017","December","12","Office Supplies","272.94","3.0","0.0","0.0"
"2017-12-08","2017","December","12","Office Supplies","19.44","3.0","0.0","9.3312"
"2017-12-08","2017","December","12","Office Supplies","31.92","4.0","0.0","8.2992"
"2017-01-14","2017","January","1","Office Supplies","21.744","1.0","20.0","7.3386"
"2017-01-14","2017","January","1","Technology","7.92","5.0","20.0","0.693"
"2017-02-26","2017","February","2","Office Supplies","81.92","4.0","0.0","22.1184"
"2017-02-26","2017","February","2","Technology","889.536","8.0","20.0","66.7152"
"2017-02-26","2017","February","2","Furniture","892.224","3.0","20.0","89.2224"
"2017-02-26","2017","February","2","Office Supplies","223.92","4.0","0.0","109.7208"
"2017-02-26","2017","February","2","Office Supplies","23.12","4.0","0.0","11.3288"
"2017-08-01","2017","August","8","Technology","271.96","5.0","20.0","16.9975"
"2017-09-09","2017","September","9","Furniture","141.372","2.0","30.0","-48.4704"
"2017-09-09","2017","September","9","Office Supplies","3.036","2.0","70.0","-2.3276"
"2017-09-09","2017","September","9","Office Supplies","4.503","1.0","70.0","-3.6024"
"2017-09-09","2017","September","9","Office Supplies","4.672","1.0","20.0","1.5768"
"2017-09-09","2017","September","9","Technology","95.88","3.0","20.0","28.764"
"2017-09-09","2017","September","9","Furniture","17.024","2.0","20.0","1.7024"
"2017-09-09","2017","September","9","Technology","258.696","3.0","20.0","64.674"
"2017-09-09","2017","September","9","Technology","1931.958","7.0","40.0","-386.3916"
"2017-11-06","2017","November","11","Office Supplies","15.28","2.0","0.0","7.4872"
"2017-11-06","2017","November","11","Furniture","8.73","1.0","0.0","2.9682"
"2017-11-06","2017","November","11","Office Supplies","5.68","2.0","0.0","1.7608"
"2017-05-14","2017","May","5","Office Supplies","48.69","9.0","0.0","23.8581"
"2017-12-18","2017","December","12","Office Supplies","38.82","6.0","0.0","17.469"
"2017-12-18","2017","December","12","Furniture","1141.938","9.0","10.0","139.5702"
"2017-12-18","2017","December","12","Office Supplies","1704.56","13.0","0.0","511.368"
"2017-12-18","2017","December","12","Office Supplies","3.2","2.0","0.0","1.376"
"2017-03-10","2017","March","3","Office Supplies","5.248","2.0","20.0","0.5904"
"2017-03-10","2017","March","3","Technology","35.91","3.0","40.0","-8.379"
"2017-03-10","2017","March","3","Furniture","6.696","1.0","20.0","0.5022"
"2017-03-10","2017","March","3","Furniture","43.872","2.0","20.0","11.5164"
"2017-10-23","2017","October","10","Technology","863.88","3.0","20.0","107.985"
"2017-07-07","2017","July","7","Office Supplies","17.472","3.0","20.0","6.3336"
"2017-09-02","2017","September","9","Office Supplies","6.57","3.0","0.0","1.7739"
"2017-09-23","2017","September","9","Furniture","29.328","3.0","20.0","3.666"
"2017-06-04","2017","June","6","Office Supplies","12.48","2.0","0.0","5.616"
"2017-04-09","2017","April","4","Office Supplies","15.12","3.0","20.0","4.914"
